time_step,lat,lon,pdop
0,-50,180,1.20296
0,-40,-180,1.40201
0,-40,-170,1.20647
0,-40,-160,1.35523
0,-40,-150,1.71796
0,-40,-140,1.71472
0,-40,-130,1.71642
0,-40,-120,1.29738
0,-40,-110,1.2415
0,-40,-100,1.34308
0,-40,-90,1.28141
0,-40,-80,1.45528
0,-40,-70,1.9668
0,-40,-60,1.8006
0,-40,-50,1.80295
0,-40,-40,1.81256
0,-40,-30,1.82805
0,-40,-20,1.45714
0,-40,-10,1.65329
0,-40,0,1.64046
0,-40,10,1.63428
0,-40,20,1.74333
0,-40,30,1.85832
0,-40,40,1.64334
0,-40,50,1.26212
0,-40,60,1.26907
0,-40,70,1.58264
0,-40,80,1.44204
0,-40,90,1.64685
0,-40,100,1.65014
0,-40,110,1.65821
0,-40,120,1.24915
0,-40,130,1.31656
0,-40,140,1.50818
0,-40,150,1.8867
0,-40,160,1.5389
0,-40,170,1.39443
0,-40,180,1.40201
0,-30,-180,1.26019
0,-30,-170,1.18723
0,-30,-160,1.38238
0,-30,-150,1.96911
0,-30,-140,1.94826
0,-30,-130,1.93819
0,-30,-120,1.42279
0,-30,-110,1.50436
0,-30,-100,2.32838
0,-30,-90,1.6462
0,-30,-80,1.64329
0,-30,-70,1.65121
0,-30,-60,2.04858
0,-30,-50,1.69416
0,-30,-40,1.50661
0,-30,-30,1.51783
0,-30,-20,1.44199
0,-30,-10,1.43223
0,-30,0,1.87909
0,-30,10,1.86148
0,-30,20,2.36263
0,-30,30,1.64132
0,-30,40,1.64766
0,-30,50,1.36176
0,-30,60,1.45794
0,-30,70,2.00274
0,-30,80,1.98888
0,-30,90,1.98573
0,-30,100,1.99282
0,-30,110,1.32481
0,-30,120,1.13073
0,-30,130,1.26186
0,-30,140,1.41284
0,-30,150,1.91684
0,-30,160,1.91581
0,-30,170,1.31998
0,-30,180,1.26019
0,-20,-180,1.43934
0,-20,-170,1.32276
0,-20,-160,1.29667
0,-20,-150,1.96825
0,-20,-140,1.94837
0,-20,-130,1.93983
0,-20,-120,1.41974
0,-20,-110,1.60759
0,-20,-100,2.32713
0,-20,-90,2.33052
0,-20,-80,1.71483
0,-20,-70,1.33832
0,-20,-60,1.5584
0,-20,-50,1.56316
0,-20,-40,1.57885
0,-20,-30,1.60442
0,-20,-20,1.55782
0,-20,-10,1.53493
0,-20,0,1.5215
0,-20,10,1.57376
0,-20,20,1.6543
0,-20,30,1.64793
0,-20,40,2.23034
0,-20,50,1.66592
0,-20,60,1.67092
0,-20,70,1.40157
0,-20,80,1.97974
0,-20,90,1.97526
0,-20,100,1.98126
0,-20,110,1.37768
0,-20,120,1.35373
0,-20,130,1.35089
0,-20,140,1.41363
0,-20,150,1.24622
0,-20,160,1.46415
0,-20,170,1.32465
0,-20,180,1.43934
0,-10,-180,1.30574
0,-10,-170,1.30862
0,-10,-160,1.43986
0,-10,-150,1.59871
0,-10,-140,1.60383
0,-10,-130,1.26709
0,-10,-120,1.36509
0,-10,-110,1.42197
0,-10,-100,1.48072
0,-10,-90,1.57446
0,-10,-80,1.58514
0,-10,-70,1.43568
0,-10,-60,1.30257
0,-10,-50,1.56862
0,-10,-40,1.82522
0,-10,-30,1.8574
0,-10,-20,1.78571
0,-10,-10,1.75657
0,-10,0,1.5259
0,-10,10,1.28579
0,-10,20,1.54758
0,-10,30,1.53658
0,-10,40,1.61887
0,-10,50,1.41506
0,-10,60,1.40868
0,-10,70,1.36749
0,-10,80,1.28575
0,-10,90,1.48203
0,-10,100,1.54383
0,-10,110,1.37424
0,-10,120,1.26533
0,-10,130,1.26583
0,-10,140,1.23982
0,-10,150,1.94638
0,-10,160,1.31745
0,-10,170,1.41064
0,-10,180,1.30574
0,0,-180,1.30423
0,0,-170,1.30622
0,0,-160,1.21921
0,0,-150,1.40685
0,0,-140,1.32137
0,0,-130,1.50784
0,0,-120,1.50191
0,0,-110,1.36607
0,0,-100,1.28759
0,0,-90,1.3819
0,0,-80,1.50703
0,0,-70,1.34725
0,0,-60,1.54034
0,0,-50,2.07336
0,0,-40,1.82765
0,0,-30,2.41125
0,0,-20,2.41404
0,0,-10,1.75577
0,0,0,1.61178
0,0,10,1.55756
0,0,20,1.46185
0,0,30,1.45925
0,0,40,1.44905
0,0,50,1.41856
0,0,60,1.35634
0,0,70,1.35887
0,0,80,1.43741
0,0,90,1.23454
0,0,100,1.32187
0,0,110,1.22765
0,0,120,1.26691
0,0,130,1.38527
0,0,140,1.60314
0,0,150,1.86582
0,0,160,1.53969
0,0,170,1.52229
0,0,180,1.30423
0,10,-180,1.34343
0,10,-170,1.21561
0,10,-160,1.47406
0,10,-150,1.60391
0,10,-140,1.63025
0,10,-130,1.50852
0,10,-120,1.50455
0,10,-110,1.33934
0,10,-100,1.65866
0,10,-90,1.5204
0,10,-80,1.61405
0,10,-70,1.55934
0,10,-60,1.54637
0,10,-50,1.54783
0,10,-40,1.395
0,10,-30,1.49378
0,10,-20,1.36345
0,10,-10,1.61572
0,10,0,1.55085
0,10,10,1.55906
0,10,20,1.88523
0,10,30,1.56007
0,10,40,1.56086
0,10,50,1.3563
0,10,60,1.35982
0,10,70,1.42354
0,10,80,1.53894
0,10,90,1.65075
0,10,100,2.41038
0,10,110,1.20418
0,10,120,1.14652
0,10,130,1.42546
0,10,140,1.61454
0,10,150,1.62826
0,10,160,1.54433
0,10,170,1.52589
0,10,180,1.34343
0,20,-180,1.34672
0,20,-170,1.17101
0,20,-160,1.29707
0,20,-150,2.41433
0,20,-140,2.37916
0,20,-130,1.6952
0,20,-120,1.5105
0,20,-110,1.42922
0,20,-100,1.64894
0,20,-90,2.36975
0,20,-80,2.40134
0,20,-70,1.60835
0,20,-60,1.82698
0,20,-50,1.81166
0,20,-40,1.6319
0,20,-30,1.29385
0,20,-20,1.29313
0,20,-10,1.4677
0,20,0,1.77318
0,20,10,1.7972
0,20,20,2.12032
0,20,30,2.09912
0,20,40,2.08805
0,20,50,1.41135
0,20,60,1.33914
0,20,70,1.55296
0,20,80,2.32625
0,20,90,2.32641
0,20,100,2.355
0,20,110,1.37291
0,20,120,1.1788
0,20,130,1.33479
0,20,140,1.33846
0,20,150,1.45179
0,20,160,1.36931
0,20,170,1.35358
0,20,180,1.34672
0,30,-180,1.89618
0,30,-170,1.88096
0,30,-160,1.53959
0,30,-150,1.53641
0,30,-140,2.38735
0,30,-130,1.58227
0,30,-120,1.48228
0,30,-110,1.43259
0,30,-100,1.65018
0,30,-90,2.36496
0,30,-80,2.39635
0,30,-70,1.51392
0,30,-60,1.25671
0,30,-50,1.35975
0,30,-40,1.50243
0,30,-30,2.09097
0,30,-20,1.55013
0,30,-10,1.41148
0,30,0,1.33772
0,30,10,1.28797
0,30,20,2.10414
0,30,30,2.08183
0,30,40,2.06914
