time_step,lat,lon,pdop
0,20,150,1.38036
0,20,160,1.39358
0,20,170,1.29962
0,20,180,1.97813
0,30,-180,1.18227
0,30,-170,1.38907
0,30,-160,1.38133
0,30,-150,1.46921
0,30,-140,1.25208
0,30,-130,1.44102
0,30,-120,1.43712
0,30,-110,1.37369
0,30,-100,1.32455
0,30,-90,1.23783
0,30,-80,1.49974
0,30,-70,1.49943
0,30,-60,1.50442
0,30,-50,1.25702
0,30,-40,1.43585
0,30,-30,1.162
0,30,-20,1.25836
0,30,-10,1.35287
0,30,0,1.32425
0,30,10,1.19076
0,30,20,1.32654
0,30,30,1.2765
0,30,40,1.37472
0,30,50,1.62927
0,30,60,1.63387
0,30,70,1.30929
0,30,80,1.20661
0,30,90,1.26675
0,30,100,2.3397
0,30,110,1.53675
0,30,120,1.52964
0,30,130,1.38742
0,30,140,1.41843
0,30,150,1.42511
0,30,160,1.51796
0,30,170,1.25696
0,30,180,1.18227
0,40,-180,1.45415
0,40,-170,1.60488
0,40,-160,1.46775
0,40,-150,1.52583
0,40,-140,1.91692
0,40,-130,1.43617
0,40,-120,1.2881
0,40,-110,1.14726
0,40,-100,1.33474
0,40,-90,1.27246
0,40,-80,1.48624
0,40,-70,1.48622
0,40,-60,1.49132
0,40,-50,1.03724
0,40,-40,1.08451
0,40,-30,1.11598
0,40,-20,1.49832
0,40,-10,1.88113
0,40,0,1.88543
0,40,10,1.49734
0,40,20,1.09787
0,40,30,1.22849
0,40,40,1.23402
0,40,50,1.24283
0,40,60,1.37446
0,40,70,1.63712
0,40,80,1.98868
0,40,90,1.04719
0,40,100,1.10046
0,40,110,1.21858
0,40,120,1.53961
0,40,130,1.53768
0,40,140,1.48499
0,40,150,1.39184
0,40,160,1.68951
0,40,170,1.45556
0,40,180,1.45415
0,50,-180,1.34869
0,50,-170,1.45954
0,50,-160,1.4593
0,50,-150,1.46333
0,50,-140,1.45861
0,50,-130,1.5229
0,50,-120,1.13872
0,50,-110,1.09001
0,50,-100,1.04185
0,50,-90,1.15502
0,50,-80,1.15012
0,50,-70,1.28028
0,50,-60,1.27911
0,50,-50,1.16601
0,50,-40,1.16595
0,50,-30,1.34739
0,50,-20,1.4085
0,50,-10,1.51288
0,50,0,1.51617
0,50,10,1.44095
0,50,20,1.29805
0,50,30,1.30174
0,50,40,1.33845
0,50,50,1.55075
0,50,60,1.55332
0,50,70,1.32774
0,50,80,1.33023
0,50,90,1.1164
0,50,100,1.14645
0,50,110,1.17449
0,50,120,1.27711
0,50,130,1.36953
0,50,140,1.25003
0,50,150,1.21096
0,50,160,1.35385
0,50,170,1.34999
0,50,180,1.34869
0,60,-180,1.22221
0,60,-170,1.22318
0,60,-160,1.46247
0,60,-150,1.36414
0,60,-140,1.36357
0,60,-130,1.36534
0,60,-120,1.2322
0,60,-110,1.29212
0,60,-100,1.44517
0,60,-90,1.43359
